========================================================================================================================
RUNNING ATTENTION STRATEGIES ON ALL PDGs
========================================================================================================================

────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
Processing chain_6v_5e (fixed structure; 50 CPD replicates)
  [chain_6v_5e] rep 15/50 uniform... ✓ Res 100.0%
  [chain_6v_5e] rep 15/50 partial... ✓ Res 80.1%
  [chain_6v_5e] rep 15/50 hub... ✓ Res 100.0%
  [chain_6v_5e] rep 16/50 uniform... ✓ Res 100.0%
  [chain_6v_5e] rep 16/50 partial... ✓ Res 73.3%
  [chain_6v_5e] rep 16/50 hub... ✓ Res 100.0%
  [chain_6v_5e] rep 17/50 uniform... ✓ Res 100.0%
  [chain_6v_5e] rep 17/50 partial... ✓ Res 54.8%
  [chain_6v_5e] rep 17/50 hub... ✓ Res 99.9%
  [chain_6v_5e] rep 18/50 uniform... ✓ Res 99.9%
  [chain_6v_5e] rep 18/50 partial... ✓ Res 76.4%
  [chain_6v_5e] rep 18/50 hub... ✓ Res 100.0%
  [chain_6v_5e] rep 19/50 uniform... ✓ Res 99.9%
  [chain_6v_5e] rep 19/50 partial... ✓ Res 62.1%
  [chain_6v_5e] rep 19/50 hub... ✓ Res 99.9%
  [chain_6v_5e] rep 20/50 uniform... ✓ Res 100.0%
  [chain_6v_5e] rep 20/50 partial... ✓ Res 59.9%
  [chain_6v_5e] rep 20/50 hub... ✓ Res 99.8%
  [chain_6v_5e] rep 21/50 uniform... ✓ Res 99.4%
  [chain_6v_5e] rep 21/50 partial... ✓ Res 90.6%
  [chain_6v_5e] rep 21/50 hub... ✓ Res 99.7%
  [chain_6v_5e] rep 22/50 uniform... ✓ Res 99.2%
  [chain_6v_5e] rep 22/50 partial... ✓ Res 58.8%
  [chain_6v_5e] rep 22/50 hub... ✓ Res 100.0%
  [chain_6v_5e] rep 23/50 uniform... ✓ Res 100.0%
  [chain_6v_5e] rep 23/50 partial... ✓ Res 81.3%
  [chain_6v_5e] rep 23/50 hub... ✓ Res 100.0%
  [chain_6v_5e] rep 24/50 uniform... ✓ Res 100.0%
  [chain_6v_5e] rep 24/50 partial... ✓ Res 73.0%
  [chain_6v_5e] rep 24/50 hub... ✓ Res 99.9%
  [chain_6v_5e] rep 25/50 uniform... ✓ Res 99.9%
  [chain_6v_5e] rep 25/50 partial... ✓ Res 74.9%
  [chain_6v_5e] rep 25/50 hub... ✓ Res 99.9%
  [chain_6v_5e] rep 26/50 uniform... ✓ Res 99.9%
  [chain_6v_5e] rep 26/50 partial... ✓ Res 78.6%
  [chain_6v_5e] rep 26/50 hub... ✓ Res 100.0%
  [chain_6v_5e] rep 27/50 uniform... ✓ Res 99.4%
  [chain_6v_5e] rep 27/50 partial... ✓ Res 86.5%
  [chain_6v_5e] rep 27/50 hub... ✓ Res 99.5%
  [chain_6v_5e] rep 28/50 uniform... ✓ Res 98.3%
  [chain_6v_5e] rep 28/50 partial... ✓ Res 69.1%
  [chain_6v_5e] rep 28/50 hub... ✓ Res 99.9%
  [chain_6v_5e] rep 29/50 uniform... ✓ Res 100.0%
  [chain_6v_5e] rep 29/50 partial... ✓ Res 51.8%
  [chain_6v_5e] rep 29/50 hub... ✓ Res 100.0%
  [chain_6v_5e] rep 30/50 uniform... ✓ Res 99.9%
  [chain_6v_5e] rep 30/50 partial... ✓ Res 82.7%
  [chain_6v_5e] rep 30/50 hub... ✓ Res 100.0%
  [chain_6v_5e] rep 31/50 uniform... ✓ Res 98.9%
  [chain_6v_5e] rep 31/50 partial... ✓ Res 36.9%
  [chain_6v_5e] rep 31/50 hub... ✓ Res 98.9%
  [chain_6v_5e] rep 32/50 uniform... ✓ Res 100.0%
  [chain_6v_5e] rep 32/50 partial... ✓ Res 88.0%
  [chain_6v_5e] rep 32/50 hub... ✓ Res 100.0%
  [chain_6v_5e] rep 33/50 uniform... ✓ Res 98.1%
  [chain_6v_5e] rep 33/50 partial... ✓ Res 66.3%
  [chain_6v_5e] rep 33/50 hub... ✓ Res 98.1%
  [chain_6v_5e] rep 34/50 uniform... ✓ Res 97.2%
  [chain_6v_5e] rep 34/50 partial... ✓ Res 84.5%
  [chain_6v_5e] rep 34/50 hub... ✓ Res 97.6%
  [chain_6v_5e] rep 35/50 uniform... ✓ Res 100.0%
  [chain_6v_5e] rep 35/50 partial... ✓ Res 57.4%
  [chain_6v_5e] rep 35/50 hub... ✓ Res 100.0%
  [chain_6v_5e] rep 36/50 uniform... ✓ Res 100.0%
  [chain_6v_5e] rep 36/50 partial... ✓ Res 41.6%
  [chain_6v_5e] rep 36/50 hub... ✓ Res 100.0%
  [chain_6v_5e] rep 37/50 uniform... ✓ Res 100.0%
  [chain_6v_5e] rep 37/50 partial... ✓ Res 51.7%
  [chain_6v_5e] rep 37/50 hub... ✓ Res 99.8%
  [chain_6v_5e] rep 38/50 uniform... ✓ Res 100.0%
  [chain_6v_5e] rep 38/50 partial... ✓ Res 76.1%
  [chain_6v_5e] rep 38/50 hub... ✓ Res 100.0%
  [chain_6v_5e] rep 39/50 uniform... ✓ Res 96.9%
  [chain_6v_5e] rep 39/50 partial... ✓ Res 96.5%
  [chain_6v_5e] rep 39/50 hub... ✓ Res 100.0%
  [chain_6v_5e] rep 40/50 uniform... ✓ Res 99.6%
  [chain_6v_5e] rep 40/50 partial... ✓ Res 44.5%
  [chain_6v_5e] rep 40/50 hub... ✓ Res 99.3%
  [chain_6v_5e] rep 41/50 uniform... ✓ Res 100.0%
  [chain_6v_5e] rep 41/50 partial... ✓ Res 92.1%
  [chain_6v_5e] rep 41/50 hub... ✓ Res 99.9%
  [chain_6v_5e] rep 42/50 uniform... ✓ Res 99.9%
  [chain_6v_5e] rep 42/50 partial... ✓ Res 88.8%
  [chain_6v_5e] rep 42/50 hub... ✓ Res 99.9%
  [chain_6v_5e] rep 43/50 uniform... ✓ Res 99.8%
  [chain_6v_5e] rep 43/50 partial... ✓ Res 75.6%
  [chain_6v_5e] rep 43/50 hub... ✓ Res 99.7%
  [chain_6v_5e] rep 44/50 uniform... ✓ Res 100.0%
  [chain_6v_5e] rep 44/50 partial... ✓ Res 29.4%
  [chain_6v_5e] rep 44/50 hub... ✓ Res 100.0%
  [chain_6v_5e] rep 45/50 uniform... ✓ Res 98.9%
  [chain_6v_5e] rep 45/50 partial... ✓ Res 62.7%
  [chain_6v_5e] rep 45/50 hub... ✓ Res 98.9%
  [chain_6v_5e] rep 46/50 uniform... ✓ Res 100.0%
  [chain_6v_5e] rep 46/50 partial... ✓ Res 77.6%
  [chain_6v_5e] rep 46/50 hub... ✓ Res 100.0%
  [chain_6v_5e] rep 47/50 uniform... ✓ Res 100.0%
  [chain_6v_5e] rep 47/50 partial... ✓ Res 91.3%
  [chain_6v_5e] rep 47/50 hub... ✓ Res 100.0%
  [chain_6v_5e] rep 48/50 uniform... ✓ Res 98.0%
  [chain_6v_5e] rep 48/50 partial... ✓ Res 58.6%
  [chain_6v_5e] rep 48/50 hub... ✓ Res 98.7%
  [chain_6v_5e] rep 49/50 uniform... ✓ Res 99.9%
  [chain_6v_5e] rep 49/50 partial... ✓ Res 93.6%
  [chain_6v_5e] rep 49/50 hub... ✓ Res 99.8%
  [chain_6v_5e] rep 50/50 uniform... ✓ Res 95.7%
  [chain_6v_5e] rep 50/50 partial... ✓ Res 70.2%
  [chain_6v_5e] rep 50/50 hub... ✓ Res 100.0%

Wrote results/attention_parallel_4pdg_50cpd_l40s/pdg2_chain_6v_5e/results_all_replicates.csv

========================================================================================================================
FOCUS RESOLUTION RESULTS WITH DISTORTION (TOTAL VARIATION)
========================================================================================================================

PDG             Focus           Initial      Final        Resolution %    Distortion (TV)
========================================================================================================================
(Many CPD replicates: showing means over replicates per PDG × strategy)

chain_6v_5e     hub             0.209741     0.000634     99.74           0.346339       
chain_6v_5e     partial         0.209741     0.079455     71.76           0.261449       
chain_6v_5e     uniform         0.209741     0.000900     99.54           0.416842       

========================================================================================================================
SUMMARY BY FOCUS
========================================================================================================================

Focus           Avg Initial  Avg Final    Avg Res %    Avg Distortion (TV) 
-----------------------------------------------------------------------
hub             0.209741     0.000634     99.74        0.346339            
partial         0.209741     0.079455     71.76        0.261449            
uniform         0.209741     0.000900     99.54        0.416842            

Skipping final visualizations for this shard (--skip-final-visualizations).

========================================================================================================================
EXPERIMENT COMPLETE
========================================================================================================================

======== GPU REPORT ========

==============NVSMI LOG==============

Timestamp                                 : Wed Apr  1 00:27:26 2026
Driver Version                            : 580.95.05
CUDA Version                              : 13.0

Attached GPUs                             : 1
GPU 00000000:CA:00.0
    Accounting Mode                       : Enabled
    Accounting Mode Buffer Size           : 4000
    Accounted Processes                   : None

Wed Apr  1 00:27:26 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.95.05              Driver Version: 580.95.05      CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA L40S                    On  |   00000000:CA:00.0 Off |                    0 |
| N/A   27C    P8             33W /  325W |       0MiB /  46068MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
